key	英文原文	当前中文	修改列(填这里覆盖)	备注
Levels.ShuttleLanding.Name	Shuttle Landing	航天飞机着陆		
Levels.TimedOrbit.Description	See how quickly you can orbit Droo. Your Periapsis must be at least 100km for the orbit to count. You have 5 minutes from launch.	看看你能多快环绕 Droo。近拱点至少 100 公里，轨道才算数。从发射起你有 5 分钟。		
Levels.TimedOrbit.Name	Timed Orbit	限时轨道		
Levels.TutorialFirstFlight.Description	Play the career contract tutorial 'Like a Bird'.\n\nThis tutorial covers the basics of building and flying airplanes with a very simple glider.\n\nContract Description:\nYou've already tried to jump as far as possible from the runway; now you have to take off from it. Be wise and get some wings, or yolo it and find an alternative, you do you.	游玩生涯合约教程「像鸟一样」。\n\n本教程通过一架很简单的滑翔机，讲解建造和驾驶飞机的基础知识。\n\n合约描述：\n你已经在跑道上试过尽可能远地跳跃了；现在你得从跑道上起飞。明智点是装上机翼，或者大胆试试别的办法，随你。		
Levels.TutorialFirstFlight.Name	Like a Bird	像鸟一样		
Levels.TutorialFirstOrbit.Description	Play the career contract tutorial 'Droo Orbit'.\n\nThis tutorial covers staging analysis and tuning rocket engine performance in the designer, followed by a guided tutorial to achieve orbit around Droo.\n\nContract Description:\nCan you go to orbit? I need you near specific orbits and I know you can get there. First, reach any orbit to prove yourself.	游玩生涯合约教程「Droo 轨道」。\n\n本教程讲解设计器中的分级分析和火箭发动机性能调校，随后是一段引导教程，带你进入环绕 Droo 的轨道。\n\n合约描述：\n你能进入轨道吗？我需要你待在特定轨道附近，我知道你做得到。先进入任意轨道来证明自己吧。		
Levels.TutorialFirstOrbit.Name	Droo Orbit	Droo 轨道		
Levels.TutorialFirstPayload.Description	Play the career contract tutorial 'Going High'.\n\nThis tutorial covers the basics of staging and payloads.\n\nContract Description:\nDroo's atmosphere ends right under 80km. Can you go to space to expose a probe a scientist sent me?	游玩生涯合约教程「飞向高空」。\n\n本教程讲解分级和载荷的基础知识。\n\n合约描述：\nDroo 的大气层在 80 公里稍下处结束。你能上太空去把一位科学家寄给我的探测器暴露一下吗？		
Levels.TutorialFirstPayload.Name	Going High	飞向高空		
Levels.TutorialFirstRace.Description	Play the career contract tutorial 'Learning To Fly'.\n\nThis tutorial guides you through a simple route to practice take off and landing.\n\nContract Description:\nThis is a time trial for planes, so get your gloves tight! Go through all checkpoints in order before time runs out.	游玩生涯合约教程「学飞」。\n\n本教程带你沿一条简单航线练习起飞和着陆。\n\n合约描述：\n这是专为飞机准备的计时赛，系好你的手套！在时间耗尽前按顺序通过所有检查点。		
Levels.TutorialFirstRace.Name	Learning To Fly	学飞		
Levels.TutorialTheJump.Description	Play the career contract tutorial 'The Jump'.\n\nThis tutorial teaches the basics of building and driving a very simple wheeled ground vehicle.\n\nContract Description:\nOne advantage of a huge ramp on a cliff's edge is you can fly without much effort. Go airborne for more than 150m after jumping from the end of the runway.	游玩生涯合约教程「跳跃」。\n\n本教程教授建造和驾驶一辆很简单的轮式地面载具的基础知识。\n\n合约描述：\n悬崖边有一个巨大的坡道，好处之一就是不费什么力气就能飞起来。从跑道末端起跳后，要在空中飞行超过 150 米。		
Levels.TutorialTheJump.Name	The Jump	跳跃		
Levels.TutorialVerticalShot.Description	Play the career contract tutorial 'Vertical Shot'.\n\nThis tutorial teaches the basics of building and launching a simple rocket, and briefly covers the flight user interface.\n\nContract Description:\nWhen you send your fireworks high enough, hitting a house in the village can become a huge problem, but going too far makes finding the scraps annoying. Crash no further than 20km, but no closer than 500m from the launchpad.	游玩生涯合约教程「垂直发射」。\n\n本教程教授建造和发射一枚简单火箭的基础知识，并简要介绍飞行界面。\n\n合约描述：\n当你的烟花放得够高时，砸到村里的房子就会变成大麻烦，但飞得太远又会让残骸难以寻找。坠毁点距发射台不超过 20 公里，也不少于 500 米。		
Levels.TutorialVerticalShot.Name	Vertical Shot	垂直发射		
Menu.ActiveCrafts.DeleteConfirmation.Message	Confirm that you want to delete the active craft '{0}'	确认要删除活动载具「{0}」		
Menu.ActiveCrafts.Details.Altitude	Altitude	高度		
Menu.ActiveCrafts.Details.Altitude.Ground	Ground	地面		
Menu.ActiveCrafts.Details.Apoapsis	Apoapsis	远拱点		
Menu.ActiveCrafts.Details.Crew	Crew	乘员		
Menu.ActiveCrafts.Details.Eccentricity	Eccentricity	偏心率		
Menu.ActiveCrafts.Details.Inclination	Inclination	倾角		
Menu.ActiveCrafts.Details.Orbit	Orbit	轨道		
Menu.ActiveCrafts.Details.Periapsis	Periapsis	近拱点		
Menu.ActiveCrafts.Details.Period	Period	周期		
Menu.ActiveCrafts.Details.Period.DaysFormat	{0:n} days	{0:n} 天		
Menu.ActiveCrafts.Details.Period.HoursFormat	{0:n} hours	{0:n} 小时		
Menu.ActiveCrafts.Details.Planet	Planet	行星		
Menu.ActiveCrafts.Details.Resumable	Resumable	可继续		
Menu.ActiveCrafts.Details.Velocity	Velocity	速度		
Menu.ActiveCrafts.ErrorLoadingCraftMessage	An error occurred trying to load craft '{0}'.	尝试加载载具「{0}」时发生错误。		
Menu.ActiveCrafts.NotResumable.Message	{0} is not resumable because it does not have a command pod.	{0} 无法继续，因为它没有指令舱。		
Menu.ActiveCrafts.NotResumable.OkayText	OK	确定		
Menu.ActiveCrafts.NotResumableButtonText	NOT RESUMABLE	无法继续		
Menu.ActiveCrafts.RemoveAllDebris.ConfirmationMessage	There are {0} non-resumable craft(s). Confirm that you wish to remove them.	有 {0} 个无法继续的载具。确认要移除它们。		
Menu.ActiveCrafts.RemoveAllDebris.ContextButtonText	Remove All Debris	移除所有残骸		
Menu.ActiveCrafts.RemoveAllDebris.NoDebrisMessage	There is no more debris to remove.	没有更多残骸可以移除了。		
Menu.ActiveCrafts.ResumableButtonText	RESUME	继续飞行		
Menu.ActiveCrafts.Title	Resume Flight	继续飞行		
Menu.BuildCraft.Description	Build a craft by snapping parts together. You can build rockets, rovers, airplanes, or anything you want.	把零件拼接起来即可建造载具。你可以造火箭、巡视车、飞机，或者任何你想要的东西。		
Menu.BuildCraft.Name	Build Craft	建造载具		
Menu.BuildText	BUILD	建造		
Menu.CareerSelector.Details.Error	Error reading career information	读取生涯信息时出错		
Menu.ChangeLocation	CHANGE\nLOCATION	更换&#10;发射场		
Menu.CraftDesigns.ConfirmDelete.Message	Confirm that you want to delete the craft design '{0}'	确认要删除载具设计「{0}」		
Menu.CraftDesigns.Details.Depth	Depth	深度		
Menu.CraftDesigns.Details.Height	Height	高度		
Menu.CraftDesigns.Details.Mass	Mass	质量		
Menu.CraftDesigns.Details.Parts	Parts	零件		
Menu.CraftDesigns.Details.Price	Price	价格		
Menu.CraftDesigns.Details.Stages	Stages	分级		
Menu.CraftDesigns.Details.TotalDeltaV	Total Delta V	总 Delta-V		
Menu.CraftDesigns.Details.TotalThrust	Total Thrust	总推力		
Menu.CraftDesigns.Details.WetDryMass	Wet Mass / Dry Mass	湿重 / 干重		
Menu.CraftDesigns.Details.Width	Width	宽度		
Menu.CraftDesigns.PrimaryButtonText	LOAD	载入		
Menu.CraftDesigns.ShowStockCrafts.Label	Show stock crafts	显示官方载具		
Menu.CraftDesigns.Title	Load Craft	载入载具		
Menu.CraftsInFlightFormat	{0} crafts in flight	{0} 个载具在飞行中		
Menu.Credits	CREDITS	制作人员		
Menu.CurrentCraftInfoFormat	Craft Name: {0}\nLaunch Price: {1}	载具名称：{0}&#10;发射费用：{1}		
Menu.CurrentLaunchLocationFormat	Launching from\n{0} on {1}	从&#10;{1} 的 {0} 发射		
Menu.DownloadCrafts	DOWNLOAD CRAFTS	下载载具		
Menu.DownloadCraftsTooltip	Open your web browser to the crafts download page.	打开浏览器访问载具下载页面。		
Menu.EnterCompanyName.Text	Enter Company Name	输入公司名称		
Menu.Exit	EXIT	退出		
Menu.Exit.Header	EXIT	退出		
Menu.ExitConfirmation.Message	Exit Game?	退出游戏？		
Menu.ExitConfirmation.OkayButtonText	Exit	退出		
Menu.FlightStateSystemIdNullMessage	The planetary system id could not be determined for this flight state. 	无法确定此飞行状态所属的行星系 ID。 		
Menu.InputDialog.PlaceholderText	Enter Text...	输入文本……		
Menu.LaunchCraft.Description	Ready to launch? Give this craft a flight name and click LAUNCH!	准备好发射了吗？给这个载具起一个飞行名称，然后点击发射！		
Menu.LaunchCraft.Name	Launch Craft	发射载具		
Menu.LaunchLocations.DeleteConfirmation.Message	Confirm that you want to delete the launch location '{0}'	确认要删除发射场「{0}」		
Menu.LaunchLocations.Details.Altitude	Altitude	高度		
Menu.LaunchLocations.Details.Coords	Coords	坐标		
Menu.LaunchLocations.Details.Mass	Mass	质量		
Menu.LaunchLocations.Details.Planet	Planet	行星		
Menu.LaunchLocations.Details.Size	Size	大小		
Menu.LaunchLocations.Details.Velocity	Velocity	速度		
Menu.LaunchLocations.Title	Launch Location	发射场		
Menu.LaunchText	LAUNCH	发射		
Menu.ListView.Close	Close	关闭		
Menu.ListView.Created	Created	创建时间		
Menu.ListView.RemoveSelectedItem	Remove the selected item.	移除所选项目。		
Menu.ListView.SelectForDetails	Select something on the left for more details.	在左侧选择一项以查看更多详情。		
Menu.ListView.Size	Size	大小		
Menu.LoadCraft.Title	LOAD CRAFT	载入载具		
Menu.LoadCraftTooltip	Load an existing craft from your hard drive.	从硬盘载入已有的载具。		
Menu.LoadGame	LOAD GAME	载入游戏		
Menu.LoadGame.CurrentlyLoaded.Tooltip	Currently Loaded	当前已载入		
Menu.LoadGame.Details.CompanyFunds	Company Funds	公司资金		
Menu.LoadGame.Details.CraftsInFlight	Crafts in Flight	飞行中的载具		
Menu.LoadGame.Details.Created	Created	创建时间		
Menu.LoadGame.Details.ElapsedTime	Elapsed Time	已用时间		
Menu.LoadGame.Details.GameType	Game Type	游戏类型		
Menu.LoadGame.Details.LastPlayed	Last Played	上次游玩		
Menu.LoadGame.Details.PlanetarySystem	Planetary System	行星系		
Menu.LoadGame.Details.Time.DaysFormat	{0:n1} days	{0:n1} 天		
Menu.LoadGame.Details.Time.HoursFormat	{0:n1} hours	{0:n1} 小时		
Menu.LoadOrCreateNewGameMessage	Please use the file menu to load another game or create a new game.	请使用文件菜单载入其他游戏，或创建新游戏。		
Menu.MenuTitle	MENU	菜单		
Menu.MenuTitle.Header	MENU	菜单		
Menu.MissingSystemFiles.CannotDownloadMessage	Unable to download the missing planetary system files from the website. 	无法从网站下载缺失的行星系文件。 		
Menu.MissingSystemFiles.CannotFindAllMessage	Unable to find all the missing planetary system files on the website. 	无法在网站上找到全部缺失的行星系文件。 		
Menu.MissingSystemFiles.CannotFindMessage	Unable to find the missing planetary system files on the website. 	无法在网站上找到缺失的行星系文件。 		
Menu.MissingSystemFiles.DownloadButtonText	DOWNLOAD	下载		
Menu.MissingSystemFiles.DownloadConfirmationMessage	Click the download button below to download the missing files from the SimpleRockets website. Or use the file menu to load another game or create a new one.	点击下方的下载按钮，从 SimpleRockets 网站下载缺失的文件。或者使用文件菜单载入其他游戏，或创建新游戏。		
Menu.MissingSystemFiles.DownloadEstimateFormat	Download {0} files \n Estimated download size: {1}.	下载 {0} 个文件 &#10; 预计下载大小：{1}。		
Menu.MissingSystemFiles.ErrorDeterminingMessage	An error occurred trying to determine the missing planetary system files. 	尝试确定缺失的行星系文件时发生错误。 		
Menu.MissingSystemFiles.MainText	Unable to load the game because the planetary system is missing files.	由于行星系缺少文件，无法载入游戏。		
Menu.MissingSystemFiles.QueryingServerText	Querying server for missing files...	正在向服务器查询缺失的文件……		
Menu.ModManager	MOD MANAGER	模组管理		
Menu.Mods.DeleteConfirm	Confirm that you want to delete the mod '{0}'	确认要删除模组「{0}」		
Menu.Mods.Details.CreatedDate	Created Date	创建日期		
Menu.Mods.Details.PendingDisable	This mod will be disabled when the game is restarted.	重启游戏后，此模组将被禁用。		
Menu.Mods.Disable	DISABLE	禁用		
Menu.Mods.DisableAll	Disable All Mods	禁用所有模组		
Menu.Mods.DisableAll.Tooltip	Disables all mods that are currently enabled.	禁用所有当前已启用的模组。		
Menu.Mods.DisableModSupport	Disable Mod Support	禁用模组支持		
Menu.Mods.DisableModSupport.Tooltip	Toggles mod support off without affecting the current list of enabled mods. Requires restart.	关闭模组支持，且不影响当前已启用的模组列表。需要重启。		
Menu.Mods.Enable	ENABLE	启用		
Menu.Mods.EnableAll	Enable All Mods	启用所有模组		
Menu.Mods.EnableAll.Tooltip	Enables all mods that are not currently enabled or pending disable.	启用所有当前未启用或未处于待禁用状态的模组。		
Menu.Mods.EnabledTooltip	This mod is enabled and loaded.	此模组已启用并加载。		
Menu.Mods.EnableModSupport	Enable Mod Support	启用模组支持		
Menu.Mods.EnableModSupport.Tooltip	Re-enables mod support.	重新启用模组支持。		
Menu.Mods.ErrorsTooltip	This mod is enabled, but some errors occurred when it was loaded.	此模组已启用，但加载时发生了一些错误。		
Menu.Mods.IAccept	I ACCEPT	我接受		
Menu.Mods.ModSupportCurrentlyDisabled	Mod support is currently disabled. Re-enable it via the button in the top right of this dialog. A restart will be required for the change to take effect.	模组支持当前已禁用。请通过此对话框右上角的按钮重新启用。更改需要重启后才能生效。		
Menu.Mods.ModSupportDisabled	Mod support has been disabled. Restart the game for changes to take effect.	模组支持已被禁用。重启游戏以使更改生效。		
Menu.Mods.ModSupportDisabledPendingRestart	Mod support has been disabled but the game needs to be restarted for this to fully take effect.	模组支持已被禁用，但需要重启游戏才能完全生效。		
Menu.Mods.ModSupportDisabledWillRestore	Mod support is currently disabled but it will be restored once the game is restarted.	模组支持当前已禁用，但重启游戏后将会恢复。		
Menu.Mods.ModSupportEnabled	Mod support has been enabled. Restart the game for changes to take effect.	模组支持已启用。重启游戏以使更改生效。		
Menu.Mods.ModWarning	WARNING: Mods can execute code. The mod's author could use it for evil and damage your system. Only run a mod if you trust the author. By clicking 'I Accept' below, you agree that you bear this risk and Jundroo, LLC is not responsible for any damages.	警告：模组可以执行代码。模组作者可能借此作恶并损坏你的系统。只有在你信任作者时才运行模组。点击下方的「我接受」，即表示你同意自行承担此风险，Jundroo, LLC 不对任何损害负责。		
Menu.Mods.PendingDisable	PENDING\nDISABLE	待&#10;禁用		
Menu.Mods.PendingDisableTooltip	This mod will be disabled when the game is restarted.	重启游戏后，此模组将被禁用。		
Menu.Mods.SelectModMessage	Select a mod on the left to view details about it and to enable or disable it.	在左侧选择一个模组，以查看其详情并启用或禁用它。		
Menu.Mods.Title	Mods	模组		
Menu.Mods.WarningsTooltip	This mod is enabled, but some warnings occurred when it was loaded.	此模组已启用，但加载时出现了一些警告。		
Menu.NewCraft	NEW CRAFT	新建载具		
Menu.NewCraftTooltip	Start over with a new craft.	从新载具重新开始。		
Menu.NewGame	NEW GAME	新游戏		
Menu.NewGame.CareerMode.Header	CAREER MODE	生涯模式		
Menu.NewGame.CompanyName.PlaceholderText	Company Name	公司名称		
Menu.NewGame.CompanyName.SubmittedEmptyText	Please enter a Company Name above.	请在上方输入公司名称。		
Menu.NewGame.GameType.Career	Career	生涯		
Menu.NewGame.GameType.Career.Description	Complete contracts, conquer milestones, and explore landmarks to earn money and tech points. Unlock new parts and capabilities in the Tech Tree.	完成合约、攻克里程碑、探索地标，以赚取金钱和科技点。在科技树中解锁新的零件与能力。		
Menu.NewGame.GameType.Header	GAME TYPE	游戏类型		
Menu.NewGame.GameType.Sandbox	Sandbox	沙盒		
Menu.NewGame.GameType.Sandbox.Description	There is no money and no research in Sandbox Mode. All parts are unlocked so you can build whatever you want right from the start.	沙盒模式没有金钱，也没有研究。所有零件均已解锁，你可以从一开始就建造任何想要的东西。		
Menu.NewGame.PlanetarySystem.DefaultName	Planetary System Name	行星系名称		
Menu.NewGame.PlanetarySystemHeader	PLANETARY SYSTEM	行星系		
Menu.NewGameVersionMessage	A new version of Juno: New Origins is now available. Please update to get the new features and bug fixes.	Juno: New Origins 有新版本可用。请更新以获取新功能与错误修复。		
Menu.NoLaunchLocationSelected	No launch location selected.	未选择发射场。		
Menu.NoLaunchLocationsInSystem	The planetary system has no valid launch locations.	该行星系没有有效的发射场。		
Menu.PhotoLibrary.Tooltip	Photo Library	照片库		
Menu.PlanetarySystem.Upgrade.AvailableMessage	A new version of the planetary system is available. Would you like to upgrade to version {0}?	行星系有新版本可用。要升级到版本 {0} 吗？		
Menu.PlanetarySystem.Upgrade.ErrorMessage	An error occurred trying to upgrade the planetary system.	尝试升级行星系时发生错误。		
Menu.PlanetStudio	PLANET STUDIO	行星工坊		
Menu.Play	Play	开始游戏		
Menu.ReportBugButton.Text	REPORT A BUG	报告错误		
Menu.ReportBugButton.Tooltip	Report a bug to the developers.	向开发者报告错误。		
Menu.ResumeFlight	RESUME\nFLIGHT	继续&#10;飞行		
Menu.SaveCraft	SAVE CRAFT	保存载具		
Menu.SaveCraftTooltip	Save this craft to your hard drive.	将此载具保存到硬盘。		
Menu.Settings	SETTINGS	设置		
Menu.Settings.Tooltip	Settings	设置		
Menu.ShareSandbox.Tooltip	Share Sandbox	分享沙盒		
Menu.StartLevel	START LEVEL	开始关卡		
Menu.StartPlayingTooltip	Start Playing!	开始游戏！		
Menu.Tutorials	Tutorials	教程		
MenuUi.ActiveCrafts.Label	ACTIVE CRAFTS	活跃载具		
MenuUi.ActiveJobs.Label	ACTIVE JOBS	进行中的任务		
MenuUi.Craft.Mass.Label	MASS	质量		
MenuUi.Craft.Price.Label	PRICE	价格		
MenuUi.Crafts.Button	CRAFTS	载具		
MenuUi.CurrentMoney.Label	CURRENT MONEY	当前资金		
MenuUi.Map.Button	MAP	地图		
MenuUi.ExitGame.Button	EXIT GAME	退出游戏		
MenuUi.ResumeFlight.Button	RESUME FLIGHT	继续飞行		
MenuUi.TechPoints.Label	TECH POINTS	科技点		
MenuUi.WhatsNew.Title	WHAT'S NEW	新内容		
MenuUi.WhatsNew.Title.Header	WHAT'S NEW	新内容		
Modifier.AddBiome.DataIndexInputDataSlotTooltip	The input data that defines the strength of the biome to add. These values should be in the range of 0 to 1.	定义要添加的生物群系强度的输入数据。取值应在 0 到 1 之间。		
Modifier.AddBiome.Description	A planet modifier that lets you add biomes to the planet. Connect this modifier's data output to the biome input of a Biomes modifier to define a biome.	一种行星修改器，可为行星添加生物群系。将此修改器的数据输出连接到生物群系修改器的生物群系输入端，即可定义一个生物群系。		
Modifier.AddBiome.DisplayName	Add Biome	添加生物群系		
Modifier.AddBiome.DisplayName.Header	Add Biome	添加生物群系		
Modifier.AddColor.DataIndexBlueDataSlotName	Blue	蓝		
Modifier.AddColor.DataIndexBlueDataSlotTooltip	The blue color channel input.	蓝色通道输入。		
Modifier.AddColor.DataIndexGreenDataSlotName	Green	绿		
Modifier.AddColor.DataIndexGreenDataSlotTooltip	The green color channel input.	绿色通道输入。		
Modifier.AddColor.DataIndexRedDataSlotName	Red	红		
Modifier.AddColor.DataIndexRedDataSlotTooltip	The red color channel input.	红色通道输入。		
Modifier.AddColor.Description	A planet modifier that adds a color value to the planet vertex data.	一种行星修改器，为行星顶点数据添加颜色值。		
Modifier.AddColor.DisplayName	Add Color	添加颜色		
Modifier.AddColor.DisplayName.Header	Add Color	添加颜色		
Modifier.AddHeight.Description	A planet modifier that adds a height (elevation) value to the planet vertex data.	一种行星修改器，为行星顶点数据添加高度（海拔）值。		
Modifier.AddHeight.DisplayName	Add Height	添加高度		
Modifier.AddHeight.DisplayName.Header	Add Height	添加高度		
Modifier.AddHeight.HeightLabel	Height	高度		
Modifier.AddHeight.HeightTooltip	The height, in meters, to add to the planet or biome.	要添加到行星或生物群系的高度，单位为米。		
Modifier.AltitudeBasedSubBiomes.Description	A planet modifier that defines sub-biomes for a biome based on the altitude of the terrain.	一种行星修改器，根据地形高度为某个生物群系定义子生物群系。		
Modifier.AltitudeBasedSubBiomes.DisplayName	Sub-Biomes (Altitude Based)	子生物群系（基于高度）		
Modifier.AltitudeBasedSubBiomes.DisplayName.Header	Sub-Biomes (Altitude Based)	子生物群系（基于高度）		
Modifier.AltitudeBasedSubBiomes.HeightVarianceAmountLabel	Max Height Variance	最大高度变化		
Modifier.AltitudeBasedSubBiomes.HeightVarianceAmountTooltip	The height (in meters) the current height can vary by when determining which sub-biome it belongs to. This doesn't change the actual height, just adds variation to the sub-biomes' height ranges. The strength of this variation is set by the height variance data input value, which multiplies this value.	判定当前高度属于哪个子生物群系时，高度可变化的幅度（单位：米）。这不会改变实际高度，只是为子生物群系的高度范围增加变化。变化强度由高度变化数据输入值决定，该值会与此值相乘。		
Modifier.AltitudeBasedSubBiomes.HeightVarianceBlendLabel	Blend Range	混合范围		
Modifier.AltitudeBasedSubBiomes.HeightVarianceBlendTooltip	The min and max heights, in meters, defining the range over which height variance reaches full strength. At or below the min, no variance applies. Above the max, variance applies 100%. Between min and max, the variance strength (set by the data input value) scales linearly from 0% to 100%.	以米为单位的最小与最大高度，定义高度变化达到满强度的范围。等于或低于最小值时不应用任何变化。高于最大值时变化为 100%。介于最小与最大值之间时，变化强度（由数据输入值设定）从 0% 线性增长到 100%。		
Modifier.AltitudeBasedSubBiomes.HeightVarianceDataIndexDataSlotName	Height Variance	高度变化		
Modifier.AltitudeBasedSubBiomes.HeightVarianceDataIndexDataSlotTooltip	If height variance is used, this input data defines the strength of the height variance (typically a value between 0 and 1).	若使用高度变化，此输入数据定义高度变化的强度（通常为 0 到 1 之间的值）。		
Modifier.AltitudeBasedSubBiomes.HeightVarianceGroup	Height Variance	高度变化		
Modifier.AltitudeBasedSubBiomes.HeightVarianceUsesCommonDataLabel	Use Common Data	使用通用数据		
Modifier.AltitudeBasedSubBiomes.HeightVarianceUsesCommonDataTooltip	If running in a biome specific pass, this determines whether the input data value comes from the common pass or from this biome specific pass.	在生物群系专用通道中运行时，决定输入数据值来自通用通道还是本生物群系专用通道。		
Modifier.AltitudeBasedSubBiomes.SubBiomesLabel	Sub-Biome	子生物群系		
Modifier.AltitudeBasedSubBiomes.SubBiomesTooltip	The list of sub-biomes and their associated data defined for this biome.	为此生物群系定义的子生物群系列表及其关联数据。		
Modifier.AltitudeRange.AltitudeLabel	Altitude Range	高度范围		
Modifier.AltitudeRange.AltitudeTooltip	The altitude range (in meters) for this sub-biome, defined by min and max heights. The min/max values should overlap neighboring sub-biomes for a smooth transition between them.	此子生物群系的高度范围（单位：米），由最小和最大高度定义。最小/最大值应与相邻子生物群系重叠，以便它们之间平滑过渡。		
Modifier.AltitudeRange.SubBiomeLabel	Sub-Biome Data	子生物群系数据		
Modifier.ApplyBiomeData.Description	A planet modifier that applies data from a biome to the planet vertex data.	一种行星修改器，将生物群系的数据应用到行星顶点数据。		
Modifier.ApplyBiomeData.DisplayName	Apply Biome Data	应用生物群系数据		
Modifier.ApplyBiomeData.DisplayName.Header	Apply Biome Data	应用生物群系数据		
Modifier.BasicArithmetic.DataIndexInputADataSlotName	Input A	输入 A		
Modifier.BasicArithmetic.DataIndexInputADataSlotTooltip	The 'A' Input.	「A」输入。		
Modifier.BasicArithmetic.DataIndexInputBDataSlotName	Input B	输入 B		
Modifier.BasicArithmetic.DataIndexInputBDataSlotTooltip	The 'B' Input.	「B」输入。		
Modifier.BasicArithmetic.DataIndexOutputDataSlotTooltip	The output value.	输出值。		
Modifier.BasicArithmetic.Description	A planet modifier used to perform basic math operations on one or two data input values.	一种行星修改器，用于对一个或两个数据输入值进行基本数学运算。		
Modifier.BasicArithmetic.DisplayName	Basic Arithmetic	基本运算		
Modifier.BasicArithmetic.DisplayName.Header	Basic Arithmetic	基本运算		
Modifier.BasicArithmetic.OperationType.AbsoluteValue_A	Absolute Value of A	A 的绝对值		
Modifier.BasicArithmetic.OperationType.Add_A_PLUS_B	A + B	A + B		
Modifier.BasicArithmetic.OperationType.Add_A_PLUS_C	A + C	A + C		
Modifier.BasicArithmetic.OperationType.Divide_A_By_B	A / B	A / B		
Modifier.BasicArithmetic.OperationType.Divide_A_By_C	A / C	A / C		
Modifier.BasicArithmetic.OperationType.Divide_C_By_A	C / A	C / A		
Modifier.BasicArithmetic.OperationType.Exponent_A_POW_B	A^B	A^B		
Modifier.BasicArithmetic.OperationType.Exponent_A_POW_C	A^C	A^C		
Modifier.BasicArithmetic.OperationType.Exponent_C_POW_A	C^A	C^A		
Modifier.BasicArithmetic.OperationType.Max_AB	Maximum of A and B	A 与 B 的最大值		
Modifier.BasicArithmetic.OperationType.Max_AC	Maximum of A and C	A 与 C 的最大值		
Modifier.BasicArithmetic.OperationType.Min_AB	Minimum of A and B	A 与 B 的最小值		
Modifier.BasicArithmetic.OperationType.Min_AC	Minimum of A and C	A 与 C 的最小值		
Modifier.BasicArithmetic.OperationType.Multiply_A_TIMES_B	A * B	A * B		
Modifier.BasicArithmetic.OperationType.Multiply_A_TIMES_C	A * C	A * C		
Modifier.BasicArithmetic.OperationType.Sign_A	Sign of A (-1 or 1)	A 的符号（-1 或 1）		
Modifier.BasicArithmetic.OperationType.Subtract_A_MINUS_B	A - B	A - B		
Modifier.BasicArithmetic.OperationType.Subtract_A_MINUS_C	A - C	A - C		
Modifier.BasicArithmetic.OperationType.Subtract_C_MINUS_A	C - A	C - A		
Modifier.BiomeColorAndTexture.DataIndexBiomeValueDataSlotName	Biome Value	生物群系值		
Modifier.BiomeColorAndTexture.DataIndexHeightVarianceDataSlotName	Height Variance	高度变化		
Modifier.BiomeRange.RangeLabel	Range	范围		
Modifier.BiomeRange.RangeTooltip	The range of input values reassigned to this biome. Biome ranges are ordered and evaluated by their min values. One range's max value should overlap the next range's min value so biomes transition smoothly. Input values outside all ranges are still reassigned: low values to the first biome range, high values to the last.	重新分配给此生物群系的输入值范围。生物群系范围按最小值排序和求值。一个范围的最大值应与下一个范围的最小值重叠，以便生物群系平滑过渡。所有范围之外的输入值同样会被重新分配：偏低的值归入第一个生物群系范围，偏高的值归入最后一个。		
Modifier.Clamp.ClampMaxLabel	Max	最大		
Modifier.Clamp.ClampMaxTooltip	The maximum value to which the output value will be clamped.	输出值将被限制到的最大值。		
Modifier.Clamp.ClampMinLabel	Min	最小		
Modifier.Clamp.ClampMinTooltip	The minimum value to which the output value will be clamped.	输出值将被限制到的最小值。		
Modifier.Clamp.DataIndexInputDataSlotTooltip	The data input value to be clamped.	待限制的数据输入值。		
Modifier.Clamp.DataIndexOutputDataSlotTooltip	The clamped output value, which should be between the specified minimum and maximum value.	限制后的输出值，应介于指定的最小值和最大值之间。		
Modifier.Clamp.Description	A planet modifier that clamps a data value to a specified range.	一种行星修改器，将数据值限制在指定范围内。		
Modifier.Clamp.DisplayName	Clamp	限制		
Modifier.Clamp.DisplayName.Header	Clamp	限制		
Modifier.Clouds.Description	Defines detached cloud layers that are rendered on dedicated transparent spheres around the planet in scaled space. Each layer reads its density from a data slot produced by the planet generation modifiers, and has its own height, tint and rotation speed. Order the layers by altitude (Low has the smallest height, High the largest) so higher layers correctly shadow the ones below them. The fourth layer is a non-rotating mask that multiplies the opacity of the other layers.	定义在缩放空间中渲染于行星周围专用透明球面上的独立云层。每个云层从行星生成修改器产生的数据槽读取密度，并拥有各自的高度、色调和旋转速度。请按高度排列云层（低层高度最小，高层最大），以便较高层正确遮蔽其下方的云层。第四层是不旋转的遮罩，用于乘算其他层的不透明度。		
Modifier.Clouds.DetailScaleLabel	Detail Scale	细节缩放		
Modifier.Clouds.DetailScaleTooltip	How finely the close-up detail noise tiles on this layer in the ground-level cloud view (higher is finer). Has no effect on the view from space.	在地面云层视图中，此层近景细节噪声的平铺精细程度（越高越精细）。对太空视角无影响。		
Modifier.Clouds.DetailSpeedMultiplierLabel	Detail Speed Mult.	细节速度倍率		
Modifier.Clouds.DetailSpeedMultiplierTooltip	Multiplies this layer's rotation speed to set how fast its close-up detail drifts and rotates in the ground-level cloud view. Has no effect on the view from space.	乘算此层的旋转速度，决定地面云层视图中其近景细节漂移和旋转的快慢。对太空视角无影响。		
Modifier.Clouds.DetailStrengthLabel	Detail Strength	细节强度		
